,HML,SMB,RMW,CMA,Mrt-Rf,RF
Sep-06,0.00642488,0.024321321,-0.008711118,0.016505776,0.016351087,0.000591589
Oct-06,0.036378185,-0.013282181,0.024851969,0.013271748,-0.009288604,0.002298621
Nov-06,0.073978439,0.027533654,0.053047641,0.009446065,0.047880163,0.002613196
Dec-06,0.048690137,-0.040578762,0.036586052,-0.000361801,0.012965176,0.002275309
Jan-07,0.021144547,0.002353704,-0.001954383,-0.01344495,-0.054118768,0.002544735
Feb-07,-0.006167127,0.007195219,-0.037318215,0.025399372,0.039728614,0.002498577
Mar-07,0.020400052,0.034926754,-0.026590952,-0.003076969,0.02972554,0.002758645
Apr-07,0.075215561,0.001604375,0.019272096,-0.001747687,0.057114093,0.002543598
May-07,0.11032554,0.012177381,0.04483239,0.041700171,0.100502982,0.002990552
Jun-07,-0.009525911,-0.009379024,-0.01642285,-0.032819272,0.024482859,0.002585624
Jul-07,0.070689926,-0.012431381,0.070451573,-0.002559106,0.09910484,0.002698184
Aug-07,0.020666135,0.003122847,0.066251244,0.009877018,-0.034984275,0.002456566
Sep-07,0.069774028,-0.047841439,0.001917684,0.025977341,0.03517668,0.002429375
Oct-07,0.08502898,-0.141351269,0.010154457,0.009495313,0.053614433,0.003122539
Nov-07,-0.036422117,0.006060656,-0.03855744,0.035510226,-0.08075946,0.003004983
Dec-07,-0.01350131,0.008216989,0.035133852,-0.025997081,0.001671114,0.002140803
Jan-08,-0.014227596,0.059127897,0.041985567,0.024633982,-0.146737745,0.003899261
Feb-08,0.083214857,-0.019892717,-0.043717521,0.012895521,0.052960177,0.002846716
Mar-08,-0.022677022,-0.022741026,0.027451863,0.032278701,-0.006963554,0.002517029
Apr-08,0.001059657,-0.028100328,0.054496717,0.008993753,0.061755363,0.0030197
May-08,0.029537838,0.004154313,0.002098577,0.003321386,0.011745297,0.002337766
Jun-08,0.001813382,0.035029178,0.008464822,0.016013921,-0.097394847,0.00265609
Jul-08,0.017289184,-0.026601409,0.007436991,0.004213899,-0.05440305,0.002938585
Aug-08,0.070418905,-0.03713922,0.036378122,0.043196348,-0.083061281,0.002852242
Sep-08,-0.011188617,-0.034626901,0.063996375,0.005434735,-0.024075896,0.002749525
Oct-08,0.041264784,-0.06877385,0.037468465,4.22E-05,-0.241324624,0.004112095
Nov-08,-0.044922372,0.032055426,0.025794107,0.03997207,-0.035514718,0.004529413
Dec-08,-0.003552597,-0.010290899,-0.008499911,-0.024529498,0.057127177,0.005523359
Jan-09,-0.01708039,0.030250586,-0.034871321,-0.025884066,0.035655978,0.002764548
Feb-09,0.012698655,0.058370272,-0.034478258,-0.000340902,-0.08059353,0.001872668
Mar-09,0.016661807,-0.006102393,0.018030069,-0.047248481,0.137299497,0.000675444
Apr-09,0.021280424,0.066150528,-0.135002646,-0.002910462,0.139568946,0.000654552
May-09,0.003450933,0.007323575,-0.069230387,-0.024611871,0.021729176,0.00098551
